airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7005
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,08:15:00,700,1.0,No Info,16736
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Indigo,2019-03-21,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,10208
Indigo,2019-05-01,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-04-06,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Vistara,2019-04-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Air India,2019-06-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Spicejet,2019-05-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,6883
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,10262
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,8073
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12849
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Air India,2019-03-27,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,10178
Indigo,2019-04-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,12125
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12717
Air India,2019-03-12,Banglore,New Delhi,17:25:00,16:20:00,1375,2.0,No Info,12778
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5406
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Air India,2019-05-18,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10623
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,6015
Jet Airways,2019-06-12,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,12898
Air India,2019-06-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,21954
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,6785
Indigo,2019-03-15,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,6144
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,12384
Air Asia,2019-05-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
